Site,Date,DO,Cond,Temp,Sal,pH
Joyce,1/13/22,8.2,449.7,16.1,0.3,7.3
Joyce,2/15/22,5.3,302.2,7.9,0.2,7.6
Joyce,3/25/22,4.7,360.6,13.3,0.2,7.2
Joyce,4/21/22,3.4,262.1,22.3,0.1,7.5
Joyce,5/10/22,1.9,571.1,23.8,0.3,7.1
Joyce,6/15/22,1.2,585.4,24.6,0.3,7.6
Joyce,7/7/22,1.3,419,25.6,0.2,7.3
Joyce,8/18/22,1.5,527.4,26.5,0.3,7.6
Joyce,9/23/22,1.4,488.8,24.3,0.2,7.9
Kenner,1/19/22,10.7,2506,10.9,1.35,5.9
Kenner,2/16/22,10.6,1835.4,20.8,0.93,7.7
Kenner,3/16/22,9.3,2255.3,16.9,1.16,7.4
Kenner,4/13/22,9.5,2345.5,20.9,1.02,7.4
Kenner,5/18/22,5.5,1867.6,28.5,0.95,7.5
Kenner,6/15/22,4.6,2312.6,29.5,1.2,7.3
Kenner,7/11/22,7.3,,29.3,,7.1
Kenner,8/22/22,5.4,2760.6,28.17,1.44,7.06
Kenner,9/19/22,6.5,3037.3,27.58,1.6,7.18