individual,site,replicate,Name
1,K,1,A--
1,K,2,A--
1,K,3,A--
2,K,1,ABCD
2,K,2,ABCD
2,K,3,ABCD
3,K,1,ABCH
3,K,2,ABCH
3,K,3,ABCH
4,K,1,ABD
4,K,2,ABD
4,K,3,ABD
5,K,1,ABH
5,K,2,ABH
5,K,3,ABH
6,K,1,ABI
6,K,2,ABI
6,K,3,ABI
7,K,1,ABJ
7,K,2,ABJ
7,K,3,ABJ
8,K,1,ABK
8,K,2,ABK
8,K,3,ABK
9,K,1,ABN
9,K,2,ABN
9,K,3,ABN
10,K,1,ABO
10,K,2,ABO
10,K,3,ABO
11,K,1,ABQ
11,K,2,ABQ
11,K,3,ABQ
12,K,1,ABU
12,K,2,ABU
12,K,3,ABU
13,K,1,ABV
13,K,2,ABV
13,K,3,ABV
14,K,1,ABW
14,K,2,ABW
14,K,3,ABW
15,K,1,ABX
15,K,2,ABX
15,K,3,ABX
16,K,1,ACD
16,K,2,ACD
16,K,3,ACD
17,K,1,ACH
17,K,2,ACH
17,K,3,ACH
18,K,1,ACI
18,K,2,ACI
18,K,3,ACI
19,K,1,ACJ
19,K,2,ACJ
19,K,3,ACJ
20,K,1,ACK
20,K,2,ACK
20,K,3,ACK
21,K,1,ACNP
21,K,2,ACNP
21,K,3,ACNP
22,K,1,ACO
22,K,2,ACO
22,K,3,ACO
23,K,1,AIJ
23,K,2,AIJ
23,K,3,AIJ
24,K,1,AIK
24,K,2,AIK
24,K,3,AIK
25,K,1,AIN
25,K,2,AIN
25,K,3,AIN
26,K,1,AKN
26,K,2,AKN
26,K,3,AKN
27,K,1,ANO
27,K,2,ANO
27,K,3,ANO
28,K,1,AOV
28,K,2,AOV
28,K,3,AOV
29,K,1,BCN
29,K,2,BCN
29,K,3,BCN
30,K,1,BHNP
30,K,2,BHNP
30,K,3,BHNP
31,K,1,BNO
31,K,2,BNO
31,K,3,BNO
32,K,1,C--
32,K,2,C--
32,K,3,C--
33,K,1,CN-
33,K,2,CN-
33,K,3,CN-
34,K,1,N--
34,K,2,N--
34,K,3,N--
35,J,1,–KX
35,J,2,–KX
35,J,3,–KX
36,J,1,ABC
36,J,2,ABC
36,J,3,ABC
37,J,1,ABD
37,J,2,ABD
37,J,3,ABD
38,J,1,ABI
38,J,2,ABI
38,J,3,ABI
39,J,1,ABK
39,J,2,ABK
39,J,3,ABK
40,J,1,ABN
40,J,2,ABN
40,J,3,ABN
41,J,1,ABQ
41,J,2,ABQ
41,J,3,ABQ
42,J,1,ABW
42,J,2,ABW
42,J,3,ABW
43,J,1,ABX
43,J,2,ABX
43,J,3,ABX
44,J,1,ACH
44,J,2,ACH
44,J,3,ACH
45,J,1,ACJ
45,J,2,ACJ
45,J,3,ACJ
46,J,1,ACK
46,J,2,ACK
46,J,3,ACK
47,J,1,ACO
47,J,2,ACO
47,J,3,ACO
48,J,1,ACW
48,J,2,ACW
48,J,3,ACW
49,J,1,ACX
49,J,2,ACX
49,J,3,ACX
50,J,1,AJK
50,J,2,AJK
50,J,3,AJK
51,J,1,AJX
51,J,2,AJX
51,J,3,AJX
52,J,1,AKX
52,J,2,AKX
52,J,3,AKX
53,J,1,ANO
53,J,2,ANO
53,J,3,ANO
54,J,1,ANP
54,J,2,ANP
54,J,3,ANP
55,J,1,ABJ
55,J,2,ABJ
55,J,3,ABJ
56,J,1,ABO
56,J,2,ABO
56,J,3,ABO
57,J,1,ABU
57,J,2,ABU
57,J,3,ABU
58,J,1,ABV
58,J,2,ABV
58,J,3,ABV
59,J,1,ACD
59,J,2,ACD
59,J,3,ACD
60,J,1,ACI
60,J,2,ACI
60,J,3,ACI
61,J,1,ACN
61,J,2,ACN
61,J,3,ACN
62,J,1,ACV
62,J,2,ACV
62,J,3,ACV
63,J,1,AJW
63,J,2,AJW
63,J,3,AJW
64,J,1,JKW
64,J,2,JKW
64,J,3,JKW